,region,total,elementary_and_secondary_edu,higher_edu,public_welfare,health_and_hospitals,highways,police,all_other,population_thousands,year,status_code
0,New England,10298.3818359375,2384.0927734375,827.5281372070312,2475.590087890625,471.540283203125,604.3536376953125,349.03253173828125,3186.2451171875,14802.966796875,2017,
1,Connecticut,9489.3623046875,2618.455810546875,951.31787109375,1068.116455078125,699.3292846679688,636.8515625,329.7113952636719,3185.57958984375,3573.8798828125,2017,CT
2,Maine,8702.7470703125,1918.233154296875,585.997802734375,2394.213623046875,342.0190734863281,740.2677001953125,232.4864044189453,2489.52978515625,1335.06298828125,2017,ME
3,Massachusetts,11303.453125,2366.1591796875,807.50244140625,3241.724609375,458.939697265625,557.8543701171875,376.6649169921875,3494.60791015625,6863.24609375,2017,MA
4,New Hampshire,8222.3212890625,2201.6904296875,696.5387573242188,1805.5279541015625,131.6338348388672,561.1072387695312,311.4100341796875,2514.4130859375,1349.7669677734375,2017,NH
5,Rhode Island,10302.208984375,2376.1630859375,655.37548828125,2934.10693359375,281.8494567871094,448.0201416015625,429.6744079589844,3177.02001953125,1056.4859619140625,2017,RI
6,Vermont,11774.259765625,2643.535400390625,1429.861083984375,2956.9560546875,638.88232421875,996.77197265625,349.9683837890625,2758.28515625,624.5250244140625,2017,VT
7,Mideast,12024.8701171875,2946.6962890625,829.0941162109375,2900.440673828125,877.2694091796875,646.887451171875,439.1103515625,3385.3720703125,48947.3671875,2017,
8,Delaware,11167.1064453125,2144.148193359375,1518.1051025390625,2621.667236328125,598.3880004882812,877.6986083984375,395.9520568847656,3011.146484375,957.0780029296875,2017,DE
9,Maryland,10045.890625,2273.525390625,1041.7279052734375,2191.212890625,359.2212829589844,559.57275390625,443.002685546875,3177.628173828125,6024.89111328125,2017,MD
10,New Jersey,10481.9091796875,3067.572998046875,838.9727172851562,1990.70068359375,614.200439453125,561.4523315429688,400.7734375,3008.236083984375,8888.54296875,2017,NJ
11,New York,14381.4482421875,3517.033447265625,723.8025512695312,3591.147705078125,1228.809814453125,623.7670288085938,529.9100341796875,4166.9775390625,19590.71875,2017,NY
12,Pennsylvania,10101.7333984375,2309.02587890625,867.137451171875,2680.1689453125,782.582275390625,765.1317138671875,302.4432067871094,2395.243896484375,12790.447265625,2017,PA
13,Great Lakes,8883.5068359375,1918.46484375,930.24169921875,2028.7213134765625,695.5310668945312,589.4489135742188,316.49334716796875,2404.605712890625,46878.90625,2017,
14,Illinois,9168.3935546875,2079.6025390625,719.5244140625,1773.4378662109375,410.9635925292969,731.0542602539062,413.1418762207031,3040.668701171875,12786.1962890625,2017,IL
15,Indiana,7961.10888671875,1534.4764404296875,965.0414428710938,2093.688720703125,793.7860107421875,366.9143981933594,200.1455841064453,2007.056396484375,6660.08203125,2017,IN
16,Michigan,8528.1826171875,1747.5040283203125,1188.9293212890625,1712.89990234375,946.0497436523438,429.1206970214844,255.29258728027344,2248.38623046875,9976.447265625,2017,MI
17,Ohio,9200.71875,2086.83349609375,845.8548583984375,2460.17431640625,738.780517578125,519.9722900390625,326.81146240234375,2222.29248046875,11664.12890625,2017,OH
18,Wisconsin,9288.4599609375,1959.6875,1079.76025390625,2192.68212890625,692.146728515625,948.802734375,321.5577697753906,2093.822998046875,5792.05078125,2017,WI
19,Plains,9328.5048828125,2076.185546875,999.0973510742188,1863.2279052734375,956.6387329101562,759.6223754882812,301.0213317871094,2372.71142578125,21277.130859375,2017,
20,Iowa,9864.4755859375,2125.642333984375,1230.4051513671875,1797.326171875,1378.841552734375,874.5695190429688,258.6863708496094,2199.0048828125,3143.636962890625,2017,IA
21,Kansas,9251.5390625,2070.34619140625,1199.4139404296875,1421.89697265625,1456.51904296875,660.8191528320312,296.2525329589844,2146.290771484375,2910.68896484375,2017,KS
22,Minnesota,10599.919921875,2335.533203125,1022.4819946289062,2679.0537109375,585.6259155273438,863.9235229492188,355.6698913574219,2757.631591796875,5568.15478515625,2017,MN
23,Missouri,7720.64208984375,1708.0257568359375,651.395263671875,1541.2374267578125,1074.6619873046875,387.7118225097656,296.20953369140625,2061.400146484375,6108.61181640625,2017,MO
24,Nebraska,9176.6015625,2455.189453125,1233.1163330078125,1475.0389404296875,704.1591796875,820.7684326171875,259.58203125,2228.74658203125,1917.574951171875,2017,NE
25,North Dakota,12842.0302734375,2393.343994140625,1473.729248046875,2033.564453125,362.0559997558594,2296.503173828125,306.578857421875,3976.25439453125,755.176025390625,2017,ND
