,region,total_correctional_pop,csrp_100k_18,csrp_100k_all,parole,comsrp_100k_18,comsrp_100k_all,local_jail_prison,irp_100k_18,irp_100k_all,year,status_code
0,U.S. total/e,"6,906,200","2,830","4,751,400","2,227,500",910,,,,,2013,
1,,"347,000",140,"131,900","215,100",90,,,,,2013,
2,,"6,559,200","2,690","4,619,400","2,012,400",830,,,,,2013,
3,Alabama,"115,600","3,100","70,800","46,000","1,230",,,,,2013,AL
4,Alaska,"14,600","2,670","9,500","5,100",940,,,,,2013,AK
5,Arizona,"132,300","2,620","79,200","55,200","1,090",,,,,2013,AZ
6,Arkansas,"69,900","3,100","50,200","22,800","1,010",,,,,2013,AR
7,California,"600,400","2,050","381,600","218,800",750,,,,,2013,CA
8,Colorado,"120,700","2,970","89,700","32,100",790,,,,,2013,CO
9,Connecticut,"62,900","2,230","45,400","17,600",620,,,,,2013,CT
10,Delaware,"23,700","3,260","16,700","7,000",960,,,,,2013,DE
11,District of Columbia,"13,700","2,540","12,600","2,400",450,,,,,2013,
12,Florida,"389,400","2,490","237,800","154,500",990,,,,,2013,FL
13,Georgia,"624,200","8,290","536,200","91,600","1,220",,,,,2013,GA
14,Hawaii,"28,900","2,630","23,300","5,600",510,,,,,2013,HI
15,Idaho,"45,500","3,820","35,200","10,200",860,,,,,2013,ID
16,Illinois,"222,700","2,250","153,400","69,300",700,,,,,2013,IL
17,Indiana,"179,400","3,580","134,000","45,400",910,,,,,2013,IN
18,Iowa,"45,900","1,930","34,700","12,700",530,,,,,2013,IA
19,Kansas,"37,100","1,710","20,500","16,600",760,,,,,2013,KS
20,Kentucky,"97,600","2,880","65,900","32,100",950,,,,,2013,KY
21,Louisiana,"115,700","3,280","70,700","50,100","1,420",,,,,2013,LA
22,Maine,"10,500",980,"6,700","3,800",350,,,,,2013,ME
23,Maryland,"74,800","1,620","46,300","32,700",710,,,,,2013,MD
24,Massachusetts,"91,100","1,710","70,000","21,400",400,,,,,2013,MA
25,Michigan,"253,700","3,310","195,200","60,200",790,,,,,2013,MI
26,Minnesota,"123,500","2,970","107,800","15,700",380,,,,,2013,MN
27,Mississippi,"67,400","2,980","38,600","28,800","1,270",,,,,2013,MS
28,Missouri,"114,900","2,460","70,400","44,500",950,,,,,2013,MO
29,Montana,"14,800","1,870","9,500","6,000",760,,,,,2013,MT
30,Nebraska,"23,200","1,640","14,800","8,500",600,,,,,2013,NE
31,Nevada,"37,500","1,750","17,600","19,900",930,,,,,2013,NV
32,New Hampshire,"11,100","1,050","6,300","4,800",460,,,,,2013,NH
33,New Jersey,"164,100","2,380","128,100","37,600",540,,,,,2013,NJ
