Bureau of Justice Statistics,,,,,,,
Filename: cpus13at01.csv,,,,,,,
"Appendix table 1. Estimated number and rate of persons supervised by adult correctional systems, by jurisdiction and correctional status, 2013",,,,,,,
"Report title: Correctional Populations in the United States, 2013 NCJ 248479",,,,,,,
"Data Source: Bureau of Justice Statistics, Annual Surveys of Probation and Parole, Deaths in Custody Reporting Program - Annual Summary on Inmates under Jail Jurisdiction, and National Prisoner Statistics Program, 2013. The adult resident population estimates are based on unpublished U.S. adult state resident populations on January 1, 2014.",,,,,,,
"Author: Lauren E. Glaze, Danielle Kaeble",,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
Date of version: 12/19/2014,,,,,,,
,,,,,,,
"Appendix table 1. Estimated number and rate of persons supervised by adult correctional systems, by jurisdiction and correctional status, 2013",,,,,,,
,,,,Community supervision,,Incarcerated,
Jurisdiction,,"Total correctional population, 12/31/2013/a","Correctional supervision rate per 100,000 adults/b","Number on probation or parole, 12/31/2013/c","Community supervision rate per 100,000 adults/b","Number in prison or local jail, 12/31/2013/d","Incarceration rate per 100,000 adults/b"
,U.S. total/e,"6,906,200","2,830","4,751,400","1,950","2,227,500",910
Federal/f,,"347,000",140,"131,900",50,"215,100",90
State,,"6,559,200","2,690","4,619,400","1,900","2,012,400",830
,Alabama,"115,600","3,100","70,800","1,900","46,000","1,230"
,Alaska,"14,600","2,670","9,500","1,730","5,100",940
,Arizona,"132,300","2,620","79,200","1,570","55,200","1,090"
,Arkansas,"69,900","3,100","50,200","2,220","22,800","1,010"
,California,"600,400","2,050","381,600","1,300","218,800",750
,Colorado,"120,700","2,970","89,700","2,210","32,100",790
,Connecticut,"62,900","2,230","45,400","1,610","17,600",620
,Delaware,"23,700","3,260","16,700","2,300","7,000",960
,District of Columbia,"13,700","2,540","12,600","2,330","2,400",450
,Florida,"389,400","2,490","237,800","1,520","154,500",990
,Georgia,"624,200","8,290","536,200","7,120","91,600","1,220"
,Hawaii,"28,900","2,630","23,300","2,120","5,600",510
,Idaho,"45,500","3,820","35,200","2,960","10,200",860
,Illinois,"222,700","2,250","153,400","1,550","69,300",700
,Indiana,"179,400","3,580","134,000","2,680","45,400",910
,Iowa,"45,900","1,930","34,700","1,460","12,700",530
,Kansas,"37,100","1,710","20,500",940,"16,600",760
,Kentucky,"97,600","2,880","65,900","1,940","32,100",950
,Louisiana,"115,700","3,280","70,700","2,010","50,100","1,420"
,Maine,"10,500",980,"6,700",630,"3,800",350
,Maryland,"74,800","1,620","46,300","1,010","32,700",710
,Massachusetts,"91,100","1,710","70,000","1,310","21,400",400
,Michigan,"253,700","3,310","195,200","2,550","60,200",790
,Minnesota,"123,500","2,970","107,800","2,590","15,700",380
,Mississippi,"67,400","2,980","38,600","1,710","28,800","1,270"
,Missouri,"114,900","2,460","70,400","1,510","44,500",950
,Montana,"14,800","1,870","9,500","1,190","6,000",760
,Nebraska,"23,200","1,640","14,800","1,050","8,500",600
,Nevada,"37,500","1,750","17,600",820,"19,900",930
,New Hampshire,"11,100","1,050","6,300",590,"4,800",460
,New Jersey,"164,100","2,380","128,100","1,860","37,600",540
,New Mexico,"34,200","2,170","18,700","1,180","15,500",980
,New York,"228,100","1,470","151,400",980,"81,400",530
,North Carolina,"156,000","2,050","100,600","1,320","55,300",730
,North Dakota,"8,100","1,430","5,500",960,"2,700",470
,Ohio,"335,500","3,750","267,400","2,990","69,800",780
,Oklahoma/g,"67,700","2,320",**,**,"37,900","1,300"
,Oregon,"84,100","2,720","61,100","1,980","22,900",740
,Pennsylvania,"355,600","3,530","275,800","2,730","85,500",850
,Rhode Island,"24,600","2,930","23,400","2,790","3,400",400
,South Carolina,"73,500","1,980","40,900","1,100","32,600",880
,South Dakota,"14,800","2,310","9,500","1,490","5,300",820
