Bureau of Justice Statistics,,,,,,,
Filename: cpus14at01.csv,,,,,,,
"Appendix table 1. Estimated number and rate of persons supervised by U.S. adult correctional systems, by correctional status and jurisdiction, 2014",,,,,,,
"Report title: Correctional Populations in the United States, 2014 NCJ 249513",,,,,,,
"Sources: Bureau of Justice Statistics, Annual Probation Survey, Annual Parole Survey, Deaths in Custody Reporting Program, and National Prisoner Statistics program, 2014; and U.S. Census Bureau, unpublished U.S. resident population estimates within jurisdiction on January 1, 2015.",,,,,,,
"Author: Danielle Kaeble, Lauren Glaze, Anastasios Tsoutis, Todd Minton",,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
Date of version: 12/29/2015,,,,,,,
,,,,,,,
"Appendix table 1. Estimated number and rate of persons supervised by U.S. adult correctional systems, by correctional status and jurisdiction, 2014",,,,,,,
,,Total correctional population,,Community supervision,,Incarcerated,
Jurisdiction,,"Number under correctional supervision, 12/31/2014/a","Correctional supervision rate per 100,000 U.S. residents age 18 or older/b","Number on probation or parole, 12/31/2014/c","Community supervision rate per 100,000 U.S. residents age 18 or older/b","Number in prison or local jail, 12/31/2014/d","Incarceration rate per 100,000 U.S. residents age 18 or older/b"
,U.S. total/e,"6,814,600","2,760","4,708,100","1,910","2,188,000",890
Federal/f,,"338,000",140,"128,400",50,"209,600",90
State,,"6,476,600","2,630","4,579,700","1,860","1,978,300",800
,Alabama,"104,900","2,790","61,400","1,640","45,800","1,220"
,Alaska,"14,600","2,650","9,300","1,690","5,300",960
,Arizona,"133,600","2,590","80,700","1,570","54,800","1,060"
,Arkansas,"69,100","3,050","49,300","2,170","23,100","1,020"
,California,"589,600","1,980","382,600","1,280","207,100",690
,Colorado,"119,800","2,890","89,100","2,150","31,500",760
,Connecticut,"62,300","2,200","45,600","1,610","16,600",590
,Delaware,"23,300","3,170","16,300","2,220","7,000",950
,District of Columbia/g,"11,900","2,180","11,400","2,070","1,600",300
,Florida,"382,600","2,390","231,600","1,450","153,600",960
,Georgia/h,"579,600","7,580","491,800","6,430","91,000","1,190"
,Hawaii,"28,300","2,540","22,500","2,010","5,900",530
,Idaho/i,"48,600","4,010","37,700","3,110","11,000",910
,Illinois,"219,000","2,210","151,800","1,530","67,200",680
,Indiana,"175,200","3,480","128,100","2,540","47,100",940
,Iowa,"46,500","1,940","35,500","1,490","12,700",530
,Kansas,"37,400","1,710","20,400",930,"17,000",780
,Kentucky,"103,600","3,040","70,800","2,080","33,500",980
,Louisiana,"113,600","3,200","70,600","1,990","49,100","1,380"
,Maine,"10,100",940,"6,600",610,"4,100",380
,Maryland,"109,700","2,360","91,100","1,960","31,100",670
,Massachusetts,"90,300","1,680","70,200","1,310","20,300",380
,Michigan,"256,700","3,330","199,000","2,580","59,400",770
,Minnesota,"120,500","2,870","104,300","2,490","16,200",390
,Mississippi,"69,700","3,070","44,300","1,950","25,400","1,120"
,Missouri,"109,500","2,340","65,800","1,400","43,700",930
,Montana,"14,500","1,810","9,700","1,210","5,500",680
,Nebraska,"22,500","1,580","14,000",990,"8,500",600
,Nevada,"37,500","1,710","18,000",820,"19,600",890
,New Hampshire,"11,200","1,050","6,300",590,"4,900",460
,New Jersey,"164,500","2,370","130,800","1,880","35,200",510
,New Mexico,"32,500","2,050","18,100","1,140","14,400",910
,New York,"222,100","1,430","149,100",960,"77,500",500
,North Carolina,"153,600","2,000","99,300","1,290","54,300",710
,North Dakota,"9,300","1,610","6,200","1,070","3,200",550
,Ohio,"326,300","3,630","256,200","2,850","71,200",790
,Oklahoma,"69,600","2,370","31,100","1,060","38,400","1,310"
,Oregon,"82,700","2,640","61,900","1,980","20,900",670
,Pennsylvania,"360,800","3,570","281,400","2,780","85,200",840
,Rhode Island,"25,100","2,970","24,100","2,850","3,400",400
,South Carolina,"71,900","1,910","40,000","1,060","31,900",850
,South Dakota,"14,500","2,240","9,400","1,460","5,100",800
,Tennessee,"119,900","2,360","76,400","1,500","46,900",920
,Texas,"699,300","3,490","496,900","2,480","219,100","1,090"
,Utah,"25,700","1,250","15,300",740,"12,600",620
,Vermont,"8,400","1,670","6,800","1,340","2,000",390
,Virginia,"115,300","1,780","56,700",880,"58,600",900
,Washington,"133,000","2,420","104,000","1,890","30,900",560
,West Virginia,"19,600","1,330","9,900",680,"9,900",670
