Bureau of Justice Statistics,,,,,,,,,,
File name:cpus15at01.csv,,,,,,,,,,
"Appendix Table 1. Estimated number and rate of persons supervised by U.S. adult correctional systems, by jurisdiction and correctional status, 2015",,,,,,,,,,
"Report title: Correctional Populations in the United States 2015,  NCJ 250374",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Surveys of Probation and Parole, Deaths in Custody Reporting Program, and National Prisoner Statistics Program, 2015; and U.S. Census Bureau, unpublished U.S. restident population estimates within jurisdiction on January 1, 2016. ",,,,,,,,,,
"Author: Danielle Kaeble and Lauren Glaze, BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,,
,,,,,,,,,,
"Appendix Table 1. Estimated number and rate of persons supervised by U.S. adult correctional systems, by jurisdiction and correctional status, 2015",,,,,,,,,,
,,Total correction population,,,Community supervision,,,Incarcerated,,
Jurisdiction,,"Total correctional population, 12/31/2015/a","Correctional supervision rate per 100,000  U.S. residents ages 18 or older/b","Correctional supervision rate per 100,000  U.S. residents of all ages/b","Number on probation or parole, 12/31/2015/c","Correctional supervision rate per 100,000  U.S. residents 18 or older/b","Correctional supervision rate per 100,000  U.S. residents of all ages/b","Number in prison or local jail, 12/31/2015/d","Incarceration rate per 100,000 U.S. residents ages 18 or older/b","Incarceration rate per 100,000 U.S. residents of all ages"
,,,,,,,,,,
,U.S. total/e,"6,712,600","2,700","2,080","4,650,900","1,870","1,441","2,145,100",860,660
Federal/f,,"328,500",130,102,"132,800",50,40,"195,700",80,60
State,,"6,384,100","2,560","1,978","4,518,100","1,810","1,400","1,949,400",780,600
,Alabama,"107,500","2,850","2,210","64,600","1,710","1,330","42,900","1,140",880
,Alaska,"13,900","2,520","1,890","8,500","1,550","1,160","5,400",970,730
,Arizona,"136,300","2,600","1,980","83,300","1,590","1,210","54,900","1,050",800
,Arkansas,"73,200","3,210","2,450","51,500","2,260","1,720","24,000","1,050",800
,California,"550,600","1,820","1,400","349,600","1,160",890,"201,000",670,510
,Colorado,"120,000","2,830","2,180","89,200","2,100","1,620","31,800",750,580
,Connecticut,"61,000","2,150","1,700","45,300","1,600","1,260","15,800",560,440
,Delaware,"22,700","3,050","2,390","16,100","2,150","1,690","6,700",890,700
,District of Columbia,"10,600","1,900","1,570","9,900","1,780","1,460","1,800",320,270
,Florida,"375,800","2,300","1,840","225,400","1,380","1,100","153,000",940,750
,Georgia/g,"540,000","6,960","5,260","451,800","5,820","4,400","88,500","1,140",860
,Hawaii,"28,300","2,520","1,970","22,500","2,000","1,560","5,900",520,410
,Idaho,"48,700","3,960","2,930","37,800","3,070","2,270","10,900",890,660
,Illinois,"215,100","2,170","1,670","151,300","1,530","1,180","63,900",640,500
,Indiana,"166,000","3,280","2,500","122,500","2,420","1,850","43,500",860,650
,Iowa,"46,700","1,940","1,490","35,600","1,480","1,140","12,900",540,410
,Kansas,"37,400","1,700","1,280","20,900",950,720,"16,600",760,570
