,count,mean,std,min,25%,50%,75%,max
total,157.0,8910.886522815486,2153.602342680427,6070.927734375,7675.8525390625,8481.5283203125,9575.1025390625,20072.259765625
elementary_and_secondary_edu,157.0,1892.0077269730295,496.70593923632487,1128.887451171875,1548.974853515625,1748.0380859375,2081.896484375,3594.531494140625
higher_edu,157.0,906.1025619992785,235.5933628121038,440.7167053222656,740.3748168945312,890.5867919921875,1039.2239990234377,1617.3992919921875
public_welfare,157.0,1807.3582285498358,538.7548645511073,747.0003051757812,1400.6407470703125,1680.5501708984375,2061.638916015625,3314.1298828125
health_and_hospitals,157.0,759.3054966531741,414.5870054674477,117.1894302368164,454.0150146484375,672.86669921875,1013.267578125,2785.649169921875
highways,157.0,640.6329957998482,346.4405542258936,266.2328491210937,476.8277893066406,549.2999267578125,670.5454711914062,2386.89990234375
police,157.0,304.30743242980566,75.78742825701732,174.31295776367188,248.7223663330078,293.3551330566406,357.0274963378906,535.6390991210939
all_other,157.0,2601.172041388834,995.9601376363356,1722.7764892578125,2051.387451171875,2349.983154296875,2972.585205078125,8890.958984375
population_thousands,157.0,6461.631382255797,7470.955850576904,582.1229858398438,1841.9959716796875,4425.9990234375,7052.43896484375,39209.12890625
year,157.0,2014.5477707006369,1.0945427559125591,2013.0,2014.0,2015.0,2016.0,2016.0
hispanic,157.0,12.44968152866242,10.912064742715188,1.3,5.1,9.4,15.4,48.8
white,157.0,67.99745222929937,16.510482097997027,21.8,56.6,68.6,79.9,93.4
black,157.0,10.129936305732485,9.415150535774861,0.4,3.0,7.0,14.0,37.9
asian,157.0,4.582165605095541,6.055020201375533,0.7,1.7,2.8,5.4,37.3
indigneous,157.0,1.4152866242038216,2.802498098196833,0.1,0.2,0.4,0.9,14.2
