,total,elementary_and_secondary_edu,higher_edu,public_welfare,health_and_hospitals,highways,police,all_other,population_thousands,year,hispanic,white,black,asian,indigneous,total_correctional_pop,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
0,9429.9697265625,2406.11669921875,726.0155029296875,1729.5460205078125,575.0136108398438,600.2787475585938,311.7522888183594,3081.246337890625,3594.9150390625,2013,16.1,66.7,9.9,4.5,0.2,62900,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9964.0107421875,2471.669921875,809.2716674804688,1903.366943359375,603.080322265625,631.5563354492188,316.2894592285156,3228.77587890625,3594.782958984375,2014,16.1,66.7,9.9,4.5,0.2,62300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9366.4931640625,2557.038818359375,870.3071899414062,1045.7344970703123,637.7113037109375,656.7183227539062,326.85491943359375,3272.128173828125,3587.509033203125,2015,16.1,66.7,9.9,4.5,0.2,61000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9717.14453125,2636.657958984375,940.940673828125,1076.9329833984377,657.802001953125,718.7044677734375,349.10528564453125,3337.001220703125,3578.674072265625,2016,16.1,66.7,9.9,4.5,0.2,59600,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8253.3564453125,1684.84765625,596.05810546875,2294.156982421875,370.8119812011719,691.873779296875,193.318603515625,2422.289306640625,1328.196044921875,2013,1.6,93.4,1.2,1.1,0.6,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8528.9169921875,1725.038330078125,606.8314208984375,2644.05908203125,365.4205017089844,645.2620849609375,197.48114013671875,2344.823974609375,1330.760009765625,2014,1.6,93.4,1.2,1.1,0.6,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8174.49462890625,1783.37939453125,593.1904296875,2299.9404296875,325.73822021484375,670.6742553710938,199.6952972412109,2301.87646484375,1328.4840087890625,2015,1.6,93.4,1.2,1.1,0.6,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8535.830078125,1821.1759033203125,610.7700805664062,2385.232421875,337.0347900390625,756.227783203125,217.7831878662109,2407.605712890625,1331.3699951171875,2016,1.6,93.4,1.2,1.1,0.6,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9845.2255859375,2201.459716796875,740.3748168945312,2506.07666015625,351.56414794921875,452.9996032714844,335.2963562011719,3257.4541015625,6713.94384765625,2013,11.8,71.5,7.0,6.6,0.1,91100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10290.794921875,2251.688720703125,732.6690063476562,2683.30224609375,350.226318359375,519.4696655273439,378.3981018066406,3375.040771484375,6763.65185546875,2014,11.8,71.5,7.0,6.6,0.1,90300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
